,Name,Address,Latitude,Longitude
0,Faithhouse Ministries Aberdeen Washington,"211 East Wishkah Aberdeen, Washington 98550",46.97515106000,-123.816108000000
1,Grays Harbor Youth Center Aberdeen Washington,"111 E. 4th Street Aberdeen, Washington 98520",46.97863388062,-123.821166992188
2,Union Gospel Mission of Grays Harbor Aberdeen Washington,"405 East Heron Aberdeen, Washington 98520",46.97521972656,-123.813240051270
3,Esther Women's Shelter Aberdeen Washington,"807 W 1st St Aberdeen, Washington 98520",46.97148510000,-123.828219200000
4,Volunteers of America Spokane - Crosswalk Youth Shelter Spokane Washington,"525 West Second Avenue Spokane, Washington 99201",47.65436172485,-117.419975280762
5,Hope House Spokane - Shelter for Women Spokane Washington,"111 W Third Ave Spokane, Washington 99201",47.65325240000,-117.414095500000
6,House of Charity - Catholic Charities Spokane Washington,"32 W Pacific Spokane, Washington 99201",47.65572357178,-117.412429809570
7,St. Margaret's Shelter Spokane Washington,"101 E. Hartson Spokane, Washington 99202",47.65025330000,-117.409210000000
8,The Salvation Army Emergency Family Shelter Spokane Washington,"204 E Indiana Ave Spokane, Washington 99207",47.67466000000,-117.407610000000
9,Union Gospel Mission (Spokane) Spokane Washington,"1224 E Trent Ave. Spokane, Washington 99202",47.66176224000,-117.391784000000
10,Truth Ministries Spokane Washington,"1910 E. Sprague Spokane, Washington 99202",47.65714645386,-117.382263183594
11,Anacortes Family Center Anacortes Washington,"1011 27th St, P. O. Box 681 Anacortes, Washington 98221",48.50020599365,-122.613700866699
12,Opportunity Council Oak Harbor Washington,"1791 NE 1st Ave Oak Harbor, Washington 98277",48.29865646362,-122.635635375977
13,Oasis Teen Shelter Mount Vernon Washington,"125 North Fift Street Mount Vernon, Washington 98273",48.42457580566,-122.338081359863
14,Friendship House Mount Vernon Washington,"1008 S. Third Street Mount Vernon, Washington 98273",48.41528320313,-122.336326599121
15,CADA - Domestic Violence Shelter and Services Oak Harbor Washington,"275 SE Pioneer Way # 102 Oak Harbor, Washington 98277",48.28782680000,-122.653960900000
16,Whatcom Housing Programs - For Youths Bellingham Washington,"1020 N State St Bellingham, Washington 98225",48.74558740000,-122.480895200000
17,The PAD - Northwest Youth Services For Youth Ages 13 - 17 Bellingham Washington,"1020 N. State St. Bellingham, Washington 98225",48.74558740000,-122.480895200000
18,YWCA Transitional Housing Bellingham Washington,"1026 N. Forest St. Bellingham, Washington 98225",48.74527730000,-122.478939000000
19,Lighthouse Mission Bellingham Washington,"910 West Holly Street Bellingham, Washington 98225",48.75492859000,-122.486854000000
20,LightHouse Mission Shelter Bellingham Washington,"1013 West Holly Street Bellingham, Washington 2932",48.75549780000,-122.488352000000
21,Hope House Multi Service Center - Homeless Services Only Bellingham Washington,"207 Kentucky Street Bellingham, Washington 98226",48.75795280000,-122.473052000000
22,Olympic Community Action Programs Port Townsend Washington,"823 Commerce Loop Port Townsend, Washington 98368",48.10550689697,-122.804794311523
23,"Anne Arundel County Department of Social Services, Homeless Services Annapolis Maryland","80 West Street Annapolis, Maryland 21401",38.97820282000,-76.495910600000
24,Light House - Homeless Prevention Support Annapolis Maryland,"10 Hudson St Annapolis, Maryland 21401",38.98413000000,-76.533790000000
25,YWCA of Annapolis and Anne Arundel County Domestic Violence Shelter Arnold Maryland,"1517 Ritchie Highway Arnold, Maryland 21012",39.03205490000,-76.502738900000
26,Chrysalis House Women's Treatment Center Crownsville Maryland,"1570 Crownsville Rd Crownsville, Maryland 21032",39.01967620850,-76.597953796387
27,Haven Ministries Chester Maryland,"PO Box 44 Chester, Maryland 21619",38.95231246948,-76.282669067383
28,Winter Relief for the Homeless Arundel House of Hope Glen Burnie Maryland,"511 S. Crain Highway Glen Burnie, Maryland 21061",39.15695953369,-76.629081726074
29,"Arundel House of Hope, Day Resource Center Glen Burnie Maryland","514 North Crain Highway Suite K Glen Burnie, Maryland 21061",39.17207718000,-76.620994500000
30,Safe Haven for Men - Arundel House of Hope Glen Burnie Maryland,"514 North Crain Highway Suite K Glen Burnie, Maryland 21061",39.17207718000,-76.620994500000
31,Women in Safe Haven - Arundel House of Hope Glen Burnie Maryland,"514 North Crain Highway Suite K Glen Burnie, Maryland 21061",39.17207718000,-76.620994500000
32,Sarah's House Fort Meade Maryland,"2015 20th Street Fort Meade, Maryland 20755",39.11763382000,-76.728538500000
33,Family Crisis Center Dundalk Maryland,"P. O. Box 3909 Dundalk, Maryland 21222",39.25066330000,-76.520518000000
34,Laurel Advocacy & Referral Services Laurel Maryland,"311 Laurel Avenue Laurel, Maryland 20707",39.10188293000,-76.847526500000
35,American Rescue Workers Baltimore Maryland,"1401 South Hanover Street Baltimore, Maryland 21230",39.27361679000,-76.614791800000
36,South Baltimore Station Baltimore Maryland,"140 W. West Street Baltimore, Maryland 21230",39.27618420000,-76.618445900000
37,Baltimore Outreach Services Emergency Shelter  Baltimore Maryland,"701 South Charles Street Baltimore, Maryland 21230",39.28074646000,-76.614456100000
38,Beans and Bread Outreach Center Baltimore Maryland,"400 S. Bond Street Baltimore, Maryland 21231",39.28629600000,-76.595761000000
39,Bridges To Housing Stability - Family Housing Assistance Columbia Maryland,"9520 Berger Road Suite 311 Columbia, Maryland 21046",39.17452620000,-76.842040900000
40,Helping Up Mission Baltimore Maryland,"1029 East Baltimore St Baltimore, Maryland 21202",39.29041610000,-76.602077000000
